city,state_id,lat,lng,zips
Los Angeles,CA,34.1141,-118.4068,91367 90291 90293 90292 91316 91311 90035 90034 90037 90031 90039 90008 90004 90005 90006 90007 90001 90002 90003 91504 91040 90710 90089 91307 91344 91345 91340 91342 91343 90036 90247 91411 91436 91371 91608 91605 91604 91607 91606 91601 91602 90402 90068 90069 90062 90063 90061 90066 90067 90064 90065 90248 91326 91324 91325 90013 90012 90011 90010 90017 90016 90015 90014 91364 90028 90095 90094 91042 91352 91356 91406 91402 90041 90042 90043 90044 90045 90046 90047 90048 90049 90019 90018 91423 90210 91303 91304 91306 90079 90071 90077 90059 91331 91330 91335 90026 90027 90024 90025 90023 90020 90021 90029 90272 90732 90731 90230 91405 91403 91401 90033 90032 90038 90057 90052 90058 90744 90501 90502 90009 90030 90050 90051 90053 90054 90055 90060 90070 90072 90074 90075 90076 90078 90080 90081 90082 90083 90084 90085 90086 90087 90088 90093 90099 90134 90140 90189 90213 90294 90295 90733 90734 90748 91041 91043 91305 91308 91309 91313 91327 91328 91333 91334 91337 91346 91353 91357 91365 91392 91393 91394 91395 91396 91404 91407 91408 91409 91410 91412 91413 91416 91426 91470 91482 91499 91603 91609 91610 91614 91615 91616 91617 91618
San Francisco,CA,37.7558,-122.4449,94130 94131 94132 94133 94134 94103 94102 94105 94104 94188 94158 94124 94123 94122 94121 94129 94118 94108 94107 94112 94110 94116 94117 94114 94115 94111 94109 94127 94119 94120 94125 94137 94139 94140 94141 94142 94143 94144 94145 94146 94147 94151 94159 94160 94161 94163 94164 94172 94177
San Diego,CA,32.8313,-117.1222,92182 92109 92108 92107 92106 92103 92101 92111 92154 92110 92140 92161 92105 92104 92102 92071 92132 92130 92131 92136 92134 92139 92025 92027 92147 92145 92014 92093 92092 92119 92116 92117 92121 92120 92123 92122 92124 92127 92126 92129 92128 92037 92173 92113 92114 92115 92038 92039 92072 92112 92137 92138 92142 92143 92149 92150 92152 92153 92158 92159 92160 92163 92165 92166 92167 92168 92169 92170 92171 92172 92174 92175 92176 92177 92186 92187 92191 92192 92193 92195 92196 92197 92198 92199
Riverside,CA,33.9381,-117.3949,92508 92503 92501 92506 92505 92504 92507 92521 92502 92513 92514 92516 92517 92522
Sacramento,CA,38.5677,-121.4685,95821 95820 95823 95838 95832 95833 95831 95834 95835 95811 95814 95815 95818 95819 95828 95822 95825 95824 95826 95816 95817 94203 94204 94205 94209 94229 94230 94232 94235 94236 94237 94239 94240 94244 94247 94248 94249 94250 94252 94254 94256 94257 94258 94259 94261 94262 94263 94267 94268 94269 94271 94273 94274 94277 94278 94279 94280 94283 94284 94285 94287 94288 94289 94290 94293 94294 94295 94296 94297 94298 94299 95812 95813 95840 95851 95852 95853 95867 95894
San Jose,CA,37.3012,-121.848,95119 95118 95128 95124 95125 95122 95008 95002 95117 95116 95111 95110 95113 95112 95126 95127 95120 95123 95148 95133 95132 95131 95130 95136 95134 95139 95138 95037 95013 95129 95121 95101 95103 95106 95109 95115 95141 95150 95151 95153 95154 95155 95156 95157 95158 95159 95160 95161 95164 95172 95173 95190 95191 95192 95193 95194 95196
Fresno,CA,36.783,-119.7939,93740 93741 93730 93650 93702 93703 93701 93706 93704 93705 93722 93728 93720 93721 93726 93727 93711 93710 93707 93708 93709 93714 93715 93716 93717 93718 93724 93729 93744 93745 93750 93755 93760 93761 93764 93765 93771 93772 93774 93775 93776 93777 93778 93779 93790 93791 93792 93793 93794 93844
Mission Viejo,CA,33.6096,-117.6551,92692 92691 92690
Bakersfield,CA,35.3529,-119.0359,93306 93307 93304 93305 93301 93309 93314 93311 93313 93312 93302 93383 93384 93385 93387 93389 93390
Concord,CA,37.9722,-122.0016,94518 94519 94565 94521 94520 94522 94524 94527
Long Beach,CA,33.7977,-118.167,90822 90804 90805 90806 90807 90802 90803 90808 90831 90814 90813 90810 90815 90840 90801 90809 90832 90833 90842 90844 90846 90847 90848 90853
Oakland,CA,37.7904,-122.2166,94621 94705 94611 94610 94613 94612 94619 94618 94606 94607 94602 94603 94601 94609 94720 94605 94608 94604 94614 94615 94617 94620 94623 94624 94649 94659 94660 94661 94666
Stockton,CA,37.9765,-121.3109,95219 95212 95210 95211 95209 95207 95203 95205 95204 95206 95202 95201 95267 95269 95296 95297
Oxnard,CA,34.1964,-119.1815,93035 93036 93030 93033 93031 93032 93034
Indio,CA,33.7346,-116.2346,92241 92201 92203
Victorville,CA,34.5277,-117.3536,92394 92395 92392 92393
Modesto,CA,37.6375,-121.0028,95358 95356 95355 95354 95351 95350 95352 95353 95397
Anaheim,CA,33.839,-117.8574,92808 92806 92807 92804 92805 92802 92801 92803 92809 92812 92815 92816 92817 92825 92899
Antioch,CA,37.9787,-121.796,94531 94509
Santa Ana,CA,33.7367,-117.8819,92707 92701 92703 92705 92704 92706 92702 92735 92799
Irvine,CA,33.6772,-117.7738,92617 92614 92612 92618 92697 92620 92602 92603 92604 92606 92616 92619 92650 92698
Santa Rosa,CA,38.4458,-122.7067,95409 95403 95401 95407 95405 95404 95406
Chula Vista,CA,32.6281,-117.0144,91911 91910 91913 91915 91914 91902 91908 91909 91912 91921
Santa Clarita,CA,34.4175,-118.4964,91351 91321 91350 91355 91354 91387 91322 91382 91385 91386
Fremont,CA,37.5265,-121.9843,94560 94536 94538 94539 94555 94537
San Bernardino,CA,34.1416,-117.2943,92404 92369 92401 92407 92405 92408 92411 92410 92415 92346 92403 92406 92413 92418 92423 92427
Fontana,CA,34.0968,-117.4599,92335 92336 92337 92331 92334 92402
Moreno Valley,CA,33.9244,-117.2045,92551 92553 92555 92557 92552 92554 92556
