client_name,location,Positions,Language,Pay Rate,Schedule,Other Details
BoldAge Fresno,Fresno,2 Caregivers,"Lao, Hmong",$21.00/hr,Flexible,Must speak Lao and Hmong
Central Valley,Oakdale,2 Female Caregivers,Spanish,$21.00/hr,Within 15 minutes of Oakdale,Assist with both male/female clients
Chinatown PACE,Downtown LA,2-3 Female Caregivers,"Cantonese, Mandarin",$21.00/hr,"Mon-Sun, afternoons until 6 PM",Must be available afternoons
Chinatown PACE,Alhambra,2-3 Female Caregivers,"Cantonese, Mandarin",$21.00/hr,"Mon-Sun, afternoons until 6 PM",Must be available afternoons
Chinatown PACE,San Gabriel,2-3 Female Caregivers,"Cantonese, Mandarin",$21.00/hr,"Mon-Sun, afternoons until 6 PM",Must be available afternoons
Chinatown PACE,Temple City,2-3 Female Caregivers,"Cantonese, Mandarin",$21.00/hr,"Mon-Sun, afternoons until 6 PM",Must be available afternoons
Chinatown PACE,El Monte,2-3 Female Caregivers,"Cantonese, Mandarin",$21.00/hr,"Mon-Sun, afternoons until 6 PM",Must be available afternoons
Gary & Mary PACE,Ramona,Multiple Caregivers,Spanish,$21.00/hr,"Part-time with option for full-time, 2 days off",1-3 hour shifts
Gary & Mary PACE,Poway,Multiple Caregivers,Spanish,$21.00/hr,"Part-time with option for full-time, 2 days off",1-3 hour shifts
Gary & Mary PACE,Encinitas,Multiple Caregivers,Spanish,$21.00/hr,"Part-time with option for full-time, 2 days off",1-3 hour shifts
Gary & Mary PACE,Mira Mesa,Multiple Caregivers,Spanish,$21.00/hr,"Part-time with option for full-time, 2 days off",1-3 hour shifts
Gary & Mary PACE,Fallbrook,Multiple Caregivers,Spanish,$21.00/hr,"Part-time with option for full-time, 2 days off",1-3 hour shifts
Gary & Mary PACE,Carlsbad,Multiple Caregivers,Spanish,$21.00/hr,"Part-time with option for full-time, 2 days off",1-3 hour shifts
Gary & Mary PACE,Escondido,Multiple Caregivers,Spanish,$21.00/hr,"Part-time with option for full-time, 2 days off",1-3 hour shifts
Gary & Mary PACE,Oceanside,Multiple Caregivers,Spanish,$21.00/hr,"Part-time with option for full-time, 2 days off",1-3 hour shifts
Gary & Mary PACE,Vista,Multiple Caregivers,Spanish,$21.00/hr,"Part-time with option for full-time, 2 days off",1-3 hour shifts
Gary & Mary PACE,San Marcos,Multiple Caregivers,Spanish,$21.00/hr,"Part-time with option for full-time, 2 days off",1-3 hour shifts
